Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,148
design__inferred_latch__count,0
design__instance__count,17510
design__instance__area,635381
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,8
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,31
design__max_cap_violation__count__corner:nom_tt_025C_3v30,98
power__internal__total,0.0428132601082325
power__switching__total,0.00982517097145319
power__leakage__total,6.450624709941621E-7
power__total,0.05263907462358475
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.34622924951474926
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.34226608627165894
timing__hold__ws__corner:nom_tt_025C_3v30,0.18533108905443302
timing__setup__ws__corner:nom_tt_025C_3v30,10.573886954201855
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.185331
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,13.673322
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,31
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,93
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.33801892797083755
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.3294880850306516
timing__hold__ws__corner:nom_ff_n40C_3v60,0.0932474124308789
timing__setup__ws__corner:nom_ff_n40C_3v60,13.9545641214322
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.093247
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,17.494177
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,10
design__max_fanout_violation__count,31
design__max_cap_violation__count,162
clock__skew__worst_hold,-0.3247222305180556
clock__skew__worst_setup,0.3180926445613115
timing__hold__ws,0.09232337378134979
timing__setup__ws,10.506390721466241
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.092323
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,13.571908
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 730.0 920.0
design__core__bbox,10.08 11.76 719.6 909.44
design__io,637
design__die__area,671600
design__core__area,636922
design__instance__count__stdcell,7999
design__instance__area__stdcell,173546
design__instance__count__macros,2
design__instance__area__macros,310827
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.76049
design__instance__utilization__stdcell,0.532195
design__rows,493
design__rows:unithd,493
design__sites,147847
design__sites:unithd,147847
design__instance__count__class:macro,2
design__instance__area__class:macro,310827
design__instance__count__class:tie_cell,162
design__instance__area__class:tie_cell,1422.49
design__instance__count__class:buffer,8
design__instance__area__class:buffer,105.37
design__instance__count__class:inverter,107
design__instance__area__class:inverter,939.546
design__instance__count__class:sequential_cell,537
design__instance__area__class:sequential_cell,31850.2
design__instance__count__class:multi_input_combinational_cell,2907
design__instance__area__class:multi_input_combinational_cell,64696.9
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,85
flow__warnings__count:ORD-2001,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:tap_cell,3072
design__instance__area__class:tap_cell,13487.3
flow__warnings__count:PDN-0110,8
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1573.64
design__instance__displacement__mean,0.1975
design__instance__displacement__max,182.51
route__wirelength__estimated,622494
design__violations,0
design__instance__count__class:timing_repair_buffer,1073
design__instance__area__class:timing_repair_buffer,57200.3
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,16
design__instance__count__class:clock_buffer,62
design__instance__area__class:clock_buffer,3297.19
design__instance__count__class:clock_inverter,19
design__instance__area__class:clock_inverter,318.304
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,48
global_route__vias,80
global_route__wirelength,814279
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,7
design__instance__count__class:antenna_cell,52
design__instance__area__class:antenna_cell,228.301
route__net,5201
route__net__special,2
route__drc_errors__iter:0,219
route__wirelength__iter:0,691577
route__drc_errors__iter:1,28
route__wirelength__iter:1,691493
route__drc_errors__iter:2,38
route__wirelength__iter:2,691495
route__drc_errors__iter:3,0
route__wirelength__iter:3,691508
route__drc_errors__iter:4,633
route__wirelength__iter:4,691039
route__drc_errors__iter:5,243
route__wirelength__iter:5,690984
route__drc_errors__iter:6,153
route__wirelength__iter:6,691092
route__drc_errors__iter:7,94
route__wirelength__iter:7,691141
route__drc_errors__iter:8,47
route__wirelength__iter:8,691156
route__drc_errors__iter:9,39
route__wirelength__iter:9,691158
route__drc_errors__iter:10,30
route__wirelength__iter:10,691239
route__drc_errors__iter:11,30
route__wirelength__iter:11,691249
route__drc_errors__iter:12,3
route__wirelength__iter:12,691347
route__drc_errors__iter:13,3
route__wirelength__iter:13,691347
route__drc_errors__iter:14,3
route__wirelength__iter:14,691344
route__drc_errors__iter:15,3
route__wirelength__iter:15,691347
route__drc_errors__iter:16,1
route__wirelength__iter:16,691384
route__drc_errors__iter:17,1
route__wirelength__iter:17,691384
route__drc_errors__iter:18,1
route__wirelength__iter:18,691384
route__drc_errors__iter:19,1
route__wirelength__iter:19,691381
route__drc_errors__iter:20,1
route__wirelength__iter:20,691386
route__drc_errors__iter:21,0
route__wirelength__iter:21,691450
route__drc_errors,0
route__wirelength,691508
route__vias,46290
route__vias__singlecut,46290
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
flow__warnings__count:DRT-6000,1001
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1231.71
design__instance__count__class:fill_cell,9509
design__instance__area__class:fill_cell,151008
timing__unannotated_net__count__corner:nom_tt_025C_3v30,29
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
