net,length_um
clk,985.455µm
net477,853.6µm
net478,851.59µm
net480,848.01µm
net479,840.16µm
clknet_3_0_0_clk_regs,835.105µm
final_a\[2\],824.94µm
net705,807.34µm
final_a\[7\],803.93µm
core_inst.rf_mem_if.o_wb_rdt\[24\],803.52µm
core_inst.rf_mem_if.o_wb_rdt\[25\],802.55µm
clknet_3_1_0_clk_regs,802.27µm
clknet_0_clk_regs,793.61µm
final_a\[8\],764.69µm
final_d\[1\],760.14µm
final_d\[0\],758.23µm
sram2048.D\[3\],749.72µm
final_a\[9\],742.05µm
net572,727.82µm
_1299_,709.82µm
clknet_0_clk,704.2µm
core_inst.rf_mem_if.o_wb_rdt\[28\],684.94µm
net564,675.11µm
net809,674.75µm
core_inst.rf_mem_if.o_wb_rdt\[26\],674.72µm
net710,674.6µm
net474,668.65µm
final_d\[2\],654.27µm
core_inst.rf_mem_if.o_wb_rdt\[27\],634.395µm
sram2048.q_bank0\[6\],632.965µm
sram2048.q_bank0\[7\],628.825µm
net462,626.41µm
net465,621.52µm
core_inst.rf_mem_if.o_wb_rdt\[29\],620.25µm
_0198_,614.93µm
net741,614.81µm
net470,609.84µm
net461,606.94µm
_1830_,600.76µm
net740,600.01µm
sram2048.q_bank0\[5\],598.985µm
net464,598.71µm
net578,587.5µm
net475,582.31µm
clknet_leaf_38_clk_regs,579.85µm
sram2048.q_bank0\[4\],577.66µm
net466,571.07µm
net538,565.89µm
net463,562.01µm
net726,561.97µm
_0197_,560.01µm
net612,559.54µm
net701,554.38µm
net739,551.79µm
net1009,548.87µm
_2277_,548.17µm
net489,547.92µm
net503,542.33µm
_0191_,538.22µm
net567,536.58µm
net546,534.95µm
net680,534.08µm
net696,532.42µm
net545,525.545µm
net525,525.51µm
net541,525.27µm
_1528_,524.52µm
net670,523.3µm
sram2048.q_bank0\[3\],521.71µm
net551,520.59µm
net512,520.5µm
net600,508.36µm
net20,507.48µm
net676,506.3µm
net615,505.74µm
clknet_3_4_0_clk_regs,505.725µm
net707,505.53µm
clknet_3_5_0_clk_regs,503.675µm
net730,502.08µm
net654,501.435µm
_0193_,499.8µm
net629,499.72µm
net667,498.98µm
_0184_,498.68µm
net671,498.28µm
net607,498.14µm
net554,494.68µm
net593,493.785µm
net549,492.415µm
net581,491.87µm
net609,489.45µm
net493,487.07µm
_2249_,485.44µm
net605,481.47µm
net649,479.8µm
net565,476.27µm
net577,475.97µm
net656,474.76µm
net618,472.66µm
net678,471.31µm
net664,470.165µm
net652,469.835µm
net529,468.89µm
net598,468.87µm
net685,467.9µm
_0201_,467.67µm
net691,467.52µm
_0183_,465.61µm
net689,464.67µm
net613,464.45µm
_0199_,459.73µm
net602,459.37µm
net660,457.38µm
_1937_,456.85µm
net757,454.46µm
net668,453.04µm
net548,452.89µm
net711,452.55µm
net617,452.06µm
net789,452.03µm
_0189_,449.96µm
net553,446.43µm
net673,444.43µm
net625,439.385µm
_0820_,439.04µm
clknet_leaf_7_clk_regs,434.17µm
net562,434.11µm
_0832_,434.05µm
net611,431.61µm
net597,431.25µm
net713,431.05µm
_2225_,429.455µm
sram2048.q_bank0\[1\],423.84µm
sram2048.q_bank0\[2\],423.7µm
net702,422.075µm
_0195_,421.55µm
net539,420.53µm
net620,419.34µm
net595,417.815µm
net523,416.91µm
_0194_,415.17µm
_1843_,415µm
net624,414.92µm
_0190_,414.6µm
net622,413.7µm
net684,410.68µm
_0808_,410.53µm
net647,410.16µm
net583,409.92µm
_1312_,409.89µm
net658,408.59µm
net472,405.78µm
net603,403.73µm
net610,402.59µm
net688,400.78µm
net785,400.55µm
net697,397.29µm
net675,396.87µm
sram2048.q_bank0\[0\],395.65µm
net723,395.5µm
_0186_,393.55µm
_0826_,393.4µm
_0001_,393.27µm
net682,386.48µm
net543,386.07µm
net627,385.95µm
net708,385.07µm
net666,384.46µm
net714,383.72µm
net773,383.09µm
_2301_,381.52µm
net580,381.46µm
_0202_,381.08µm
_0000_,379.78µm
net631,379.14µm
net608,378.86µm
net698,377.04µm
net662,376.975µm
net492,374.37µm
net692,373.58µm
clknet_3_3_0_clk_regs,373.49µm
net606,372.84µm
_1831_,372.46µm
net468,372.37µm
router_inst.inject_flit\[26\],371.52µm
_2170_,371.195µm
_0814_,370.63µm
net737,370.22µm
net534,369.85µm
net536,367.74µm
_0603_,366.8µm
net709,366.08µm
net651,362.35µm
net505,361.4µm
_0794_,361.2µm
net679,360.9µm
net824,360.57µm
_1538_,358.78µm
net655,358.55µm
net537,358.32µm
_0209_,357.71µm
net473,356.02µm
net628,355.8µm
net796,355.335µm
net802,354.63µm
net569,354.59µm
_2186_,354.4µm
_2215_,352.3µm
_2006_,349.96µm
net677,349.55µm
net544,349.425µm
net704,349.24µm
net700,349.18µm
net563,347.58µm
net738,347.21µm
core_inst.o_wb_dat\[8\],346.585µm
net703,346.37µm
net653,346.29µm
net725,346.14µm
net687,345.77µm
net487,344.32µm
net469,342.445µm
net795,342.21µm
net497,342.055µm
net604,341.06µm
net695,339.225µm
net488,339.05µm
_2044_,338.305µm
_1278_,338.24µm
net592,336.99µm
net779,336.02µm
dft_rdata[7],335.3µm
net596,334.89µm
net724,334.84µm
net527,334.74µm
net485,334.37µm
_2270_,333.2µm
net490,332.065µm
net556,331.76µm
_0788_,331.01µm
net582,328.69µm
net690,328.45µm
net531,327.93µm
net727,327.8µm
net778,327.01µm
net729,326.83µm
_0956_,326.43µm
net576,324.85µm
clknet_3_6_0_clk_regs,324.29µm
_1993_,324.205µm
net535,323.39µm
net557,323.28µm
_2257_,320.34µm
net579,319.78µm
net822,319.64µm
_1009_,318.53µm
core_inst.servile.rf_ram_if.gen_wtrig_ratio_neq_2.wtrig0_r,317.21µm
_1842_,316.04µm
core_inst.rf_mem_if.o_wb_rdt\[12\],315.115µm
net,315.02µm
net823,314.37µm
net630,313.14µm
_0654_,312.55µm
net499,311.59µm
net712,310.54µm
core_inst.rf_mem_if.o_wb_rdt\[13\],309.88µm
sram2048.q_bank1\[7\],309.4µm
_1880_,309.34µm
net762,307.97µm
net693,307.905µm
_0695_,307.87µm
net471,307.725µm
net601,307.29µm
clknet_3_2_0_clk_regs,305.34µm
_1296_,305.24µm
net502,305.19µm
net555,304.78µm
net491,304.725µm
net501,304.38µm
core_inst.servile.cpu.bufreg.data\[1\],304.15µm
net496,303.66µm
_2242_,303.64µm
_0602_,302.515µm
clknet_3_7_0_clk_regs,302.45µm
net650,301.3µm
net810,300.09µm
core_inst.rf_mem_if.o_wb_rdt\[9\],299.94µm
core_inst.servile.cpu.alu.i_rs1\[0\],299.29µm
net568,298.35µm
net626,296.75µm
core_inst.rf_mem_if.o_wb_rdt\[11\],295.46µm
net550,295.13µm
core_inst.rf_mem_if.o_wb_rdt\[8\],294.94µm
_1008_,294.25µm
clknet_leaf_31_clk_regs,292.445µm
net808,292.32µm
_0922_,290.69µm
sram2048.q_bank1\[6\],290.22µm
clknet_leaf_39_clk_regs,289.9µm
net756,289.77µm
core_inst.o_wb_adr\[2\],286.44µm
net811,285.23µm
clknet_leaf_28_clk_regs,284.78µm
net821,284.61µm
_1565_,284.07µm
net801,283.78µm
_2037_,281.995µm
net623,281.55µm
_1857_,280.73µm
sram2048.q_bank1\[5\],280.19µm
_1313_,280.02µm
net533,279.41µm
_1929_,279.12µm
core_inst.servile.cpu.bufreg.data\[0\],278.75µm
final_a\[0\],277.9µm
core_inst.rf_mem_if.o_wb_rdt\[10\],274.955µm
net530,274.805µm
net659,274.76µm
core_inst.rf_mem_if.o_wb_rdt\[20\],274.69µm
net174,274.58µm
net547,272.96µm
_0704_,272.68µm
net559,271.94µm
net552,271.91µm
_0203_,271.88µm
clknet_leaf_15_clk_regs,270.77µm
net674,270.655µm
net481,270.22µm
sram2048.GWEN,269.5µm
net665,269.33µm
net621,268.86µm
net532,268.81µm
net570,268.515µm
net566,268.11µm
core_inst.o_wb_adr\[10\],267.78µm
sram2048.q_bank1\[4\],267.54µm
_0629_,267.05µm
net500,266.94µm
net721,266.76µm
_2076_,265.88µm
clknet_leaf_34_clk_regs,265.66µm
_2029_,265.36µm
net506,265.18µm
net619,264.73µm
net669,264.26µm
_0801_,264.09µm
_1986_,264.085µm
net476,264.01µm
final_a\[1\],263.67µm
_0701_,263.48µm
net722,263.415µm
net524,263.36µm
_0188_,262.97µm
net797,262.47µm
net87,262.285µm
core_inst.o_wb_dat\[0\],262.08µm
final_a\[6\],261.01µm
_0924_,260.975µm
core_inst.rf_mem_if.bsel\[1\],260.42µm
_0182_,260.12µm
net787,258.53µm
_1922_,256.62µm
final_a\[3\],256.44µm
_1894_,254.71µm
net560,254.5µm
core_inst.rf_mem_if.o_wb_rdt\[21\],254.16µm
core_inst.rf_mem_if.o_wb_rdt\[22\],254.11µm
net209,253.73µm
core_inst.rf_mem_if.o_wb_rdt\[4\],253.41µm
_0798_,252.58µm
net683,251.74µm
net614,251.69µm
_2162_,251.6µm
net526,250.52µm
net804,249.44µm
_2288_,249.2µm
_1817_,249.07µm
net805,248.48µm
_2014_,245.99µm
net812,245.3µm
clknet_1_1__leaf_clk,245.29µm
core_inst.o_wb_adr\[31\],245.015µm
clknet_leaf_4_clk_regs,244.61µm
_1785_,244.22µm
net540,243.98µm
net507,243.75µm
_1957_,243.34µm
net542,243.15µm
